facility,period,variable,variable_clean,flag,indicator,region,district
St. Stephen Health Centre II,2022-06-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-07-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-08-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-09-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-10-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-11-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-12-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
St. Stephen Health Centre II,2023-01-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
St. Stephen Health Centre II,2023-02-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
St. Stephen Health Centre II,2023-03-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
St. Stephen Health Centre II,2023-04-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
St. Stephen Health Centre II,2023-05-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
St. Stephen Health Centre II,2020-01-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2020-02-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2020-03-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2020-04-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2020-05-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2020-06-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2020-07-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2020-08-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2020-09-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2020-10-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2020-11-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2020-12-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2021-01-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2021-02-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2021-03-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2021-04-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2021-05-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2021-06-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2021-07-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2021-08-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2021-09-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2021-10-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2021-11-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2021-12-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-01-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-02-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-03-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-04-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-05-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-06-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-07-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-08-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-09-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-10-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-11-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-12-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2023-01-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2023-02-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2023-03-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2023-04-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2023-05-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
St. Stephen Health Centre II,2020-01-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2020-02-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2020-03-01,1,0,Outlier,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2020-04-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2020-05-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2020-06-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2020-07-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2020-08-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2020-09-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2020-10-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2020-11-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2020-12-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2021-01-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2021-02-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2021-03-01,1,0,Outlier,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2021-04-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2021-05-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2021-06-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2021-07-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2021-08-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2021-09-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2021-10-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2021-11-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2021-12-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-01-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-02-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-03-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-04-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-05-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-06-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-07-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-08-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-09-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-10-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-11-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2022-12-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2023-01-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2023-02-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2023-03-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2023-04-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
St. Stephen Health Centre II,2023-05-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Tiira Health Centre II,2020-01-01,1160,718,Outlier,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2020-02-01,718,718,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2020-03-01,971,544,Outlier,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2020-04-01,370,370,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2020-05-01,912,361.3333333333333,Outlier,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2020-06-01,803,352.6666666666667,Outlier,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2020-07-01,344,344,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2020-08-01,676,676,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2020-09-01,252,252,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2020-10-01,316,316,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2020-11-01,446,446,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2020-12-01,412,412,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2021-01-01,259,259,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2021-02-01,174,174,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2021-03-01,154,154,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2021-04-01,236,236,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2021-05-01,337,337,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2021-06-01,371,371,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2021-07-01,162,162,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2021-08-01,117,117,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2021-09-01,165,165,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2021-10-01,239,239,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2021-11-01,450,450,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2021-12-01,514,514,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2022-01-01,409,409,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2022-02-01,361,361,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2022-03-01,367,367,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2022-04-01,275,275,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2022-05-01,264,264,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2022-06-01,262,262,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2022-07-01,340,340,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2022-08-01,315,315,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2022-09-01,273,273,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2022-10-01,172,172,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2022-11-01,258,258,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2022-12-01,326,326,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2023-01-01,210,210,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2023-02-01,60,60,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2023-03-01,497,497,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2023-04-01,530,530,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2023-05-01,448,448,None,x105_ep01b_malaria_total,Bukedi,Busia District
Tiira Health Centre II,2020-01-01,0,2,Outlier,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2020-02-01,2,2,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2020-03-01,5,5,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2020-04-01,5,5,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2020-05-01,12,12,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2020-06-01,12,12,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2020-07-01,8,8,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2020-08-01,7,7,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2020-09-01,8,8,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2020-10-01,24,8.5,Outlier,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2020-11-01,9,9,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2020-12-01,6,6,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2021-01-01,10,10,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2021-02-01,11,11,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2021-03-01,12,12,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2021-04-01,10,10,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2021-05-01,12,12,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2021-06-01,18,18,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2021-07-01,13,13,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2021-08-01,10,10,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2021-09-01,12,12,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2021-10-01,8,8,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2021-11-01,12,12,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2021-12-01,12,12,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2022-01-01,11,11,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2022-02-01,10,10,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2022-03-01,12,12,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2022-04-01,16,16,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2022-05-01,7,7,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2022-06-01,14,14,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2022-07-01,12,12,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2022-08-01,9,9,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2022-09-01,13,13,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2022-10-01,10,10,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2022-11-01,8,8,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2022-12-01,13,13,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2023-01-01,14,14,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2023-02-01,11,11,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2023-03-01,19,11,Outlier,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2023-04-01,11,11,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2023-05-01,16,16,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Busia District
Tiira Health Centre II,2020-01-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2020-02-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2020-03-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2020-04-01,1,1,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2020-05-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2020-06-01,1,1,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2020-07-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2020-08-01,1,1,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2020-09-01,1,1,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2020-10-01,2,2,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2020-11-01,2,2,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2020-12-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2021-01-01,2,2,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2021-02-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2021-03-01,1,1,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2021-04-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2021-05-01,1,1,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2021-06-01,2,2,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2021-07-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2021-08-01,1,1,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2021-09-01,1,1,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2021-10-01,2,2,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2021-11-01,3,3,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2021-12-01,4,4,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2022-01-01,2,2,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2022-02-01,1,1,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2022-03-01,2,2,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2022-04-01,1,1,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2022-05-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2022-06-01,2,2,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2022-07-01,1,1,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2022-08-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2022-09-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2022-10-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2022-11-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2022-12-01,2,2,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2023-01-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2023-02-01,1,1,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2023-03-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2023-04-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2023-05-01,1,1,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Busia District
Tiira Health Centre II,2020-01-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2020-02-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2020-03-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2020-04-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2020-05-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2020-06-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2020-07-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2020-08-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2020-09-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2020-10-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2020-11-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2020-12-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2021-01-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2021-02-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2021-03-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2021-04-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2021-05-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2021-06-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2021-07-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2021-08-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2021-09-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2021-10-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2021-11-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2021-12-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2022-01-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2022-02-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2022-03-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2022-04-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2022-05-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2022-06-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2022-07-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
Tiira Health Centre II,2022-08-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Busia District
